,seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender,age,check_out_hour,g1,g2,g3
0,1,8,Closed,9.0,7/28/2011 10:12:00,23.0,7/28/2011 10:12:00,23.0,B00468,1,'97217,1976.0,1,35.0,10,0.0,1.0,0.0
1,2,9,Closed,220.0,7/28/2011 10:21:00,23.0,7/28/2011 10:25:00,23.0,B00554,1,'02215,1966.0,1,45.0,10,0.0,1.0,0.0
2,3,10,Closed,56.0,7/28/2011 10:33:00,23.0,7/28/2011 10:34:00,23.0,B00456,1,'02108,1943.0,1,68.0,10,0.0,1.0,0.0
3,4,11,Closed,64.0,7/28/2011 10:35:00,23.0,7/28/2011 10:36:00,23.0,B00554,1,'02116,1981.0,0,30.0,10,1.0,0.0,0.0
4,5,12,Closed,12.0,7/28/2011 10:37:00,23.0,7/28/2011 10:37:00,23.0,B00554,1,'97214,1983.0,0,28.0,10,1.0,0.0,0.0
5,6,13,Closed,19.0,7/28/2011 10:39:00,23.0,7/28/2011 10:39:00,23.0,B00456,1,'02021,1951.0,1,60.0,10,0.0,1.0,0.0
6,7,14,Closed,24.0,7/28/2011 10:47:00,23.0,7/28/2011 10:47:00,23.0,B00554,1,'02140,1971.0,0,40.0,10,1.0,0.0,0.0
7,8,15,Closed,7.0,7/28/2011 10:48:00,23.0,7/28/2011 10:48:00,23.0,B00554,1,'02140,1971.0,0,40.0,10,1.0,0.0,0.0
8,9,16,Closed,8.0,7/28/2011 11:01:00,23.0,7/28/2011 11:01:00,23.0,B00554,1,'97214,1983.0,0,28.0,11,1.0,0.0,0.0
9,10,17,Closed,1108.0,7/28/2011 11:55:00,47.0,7/28/2011 12:13:00,40.0,B00550,1,'01867,1994.0,1,17.0,11,0.0,1.0,0.0
10,11,18,Closed,1055.0,7/28/2011 11:55:00,47.0,7/28/2011 12:13:00,40.0,B00580,1,'01867,1956.0,1,55.0,11,0.0,1.0,0.0
11,12,19,Closed,1042.0,7/28/2011 11:55:00,47.0,7/28/2011 12:12:00,40.0,B00539,1,'01867,1959.0,0,52.0,11,1.0,0.0,0.0
